rank,Youtuber,subscribers,video views,video count,category,started,subscribers (in millions),video views(in millions)
1,SET India,"150,000,000.00","138,094,188,195.00","103,416.00",Shows,2006,150,1380941.882
2,Colors TV,"59,400,000.00","57,953,938,917.00","102,663.00",Shows,2008,59.4,579539.3892
3,Zee Music Company,"91,700,000.00","53,452,740,440.00","7,544.00",Music,2014,91.7,534527.4044
4,ChuChu TV Nursery Rhymes & Kids Songs,"61,300,000.00","42,023,865,493.00",532.00,Education,2013,61.3,420238.6549
5,Wave Music,"55,800,000.00","38,870,239,539.00","18,974.00",Music,2014,55.8,388702.3954
6,YRF,"51,100,000.00","32,170,221,002.00","3,485.00",Film & Animation,2006,51.1,321702.21
7,Tips Official,"56,300,000.00","30,820,883,380.00","4,110.00",Music,2007,56.3,308208.8338
8,Infobells - Hindi,"48,600,000.00","27,692,864,625.00",516.00,Education,2014,48.6,276928.6463
9,Sony Music India,"55,400,000.00","27,224,339,226.00","3,386.00",Music,2009,55.4,272243.3923
10,Speed Records,"41,900,000.00","25,781,160,053.00","10,614.00",Music,2012,41.9,257811.6005
11,Vijay Television,"18,700,000.00","23,976,479,630.00","37,937.00",Entertainment,2007,18.7,239764.7963
12,Aaj Tak,"55,300,000.00","22,777,219,614.00","234,384.00",News & Politics,2009,55.3,227772.1961
13,Goldmines,"81,300,000.00","21,380,973,030.00","5,117.00",Film & Animation,2012,81.3,213809.7303
14,Bollywood Classics,"32,900,000.00","20,530,204,575.00","1,961.00",Music,2012,32.9,205302.0458
15,T-Series Apna Punjab,"33,600,000.00","20,034,960,034.00","7,177.00",Music,2011,33.6,200349.6003
16,ZEE5,"13,800,000.00","17,230,418,895.00","89,934.00",Entertainment,2018,13.8,172304.189
17,infobells - Tamil,"27,600,000.00","17,047,436,531.00",497.00,Education,2014,27.6,170474.3653
18,Wow Kidz,"29,900,000.00","15,932,950,782.00","3,827.00",Film & Animation,2015,29.9,159329.5078
19,Jkk Entertainment,"36,700,000.00","15,909,973,266.00",207.00,Comedy,2017,36.7,159099.7327
20,Worldwide Records Bhojpuri,"30,300,000.00","15,565,091,441.00","6,210.00",Music,2012,30.3,155650.9144
21,Goldmines Gaane Sune Ansune,"36,400,000.00","15,535,426,882.00","3,410.00",Music,2015,36.4,155354.2688
22,Mazhavil Manorama,"14,300,000.00","15,053,474,876.00","78,812.00",Entertainment,2011,14.3,150534.7488
